"","age","sex","civil_status","education","professional_experience","COMP1","COMP2","COMP3","COMP4","COMP5","CONF1","CONF2","CONF3","CONF4","CONF5","INSE1","INSE2","INSE3","INSE4","INSE5","alene","leder","bransje","kjønn","complexity"
"151",31,1,2,2,"10",5,5,5,4,4,2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,"Helse og omsorg","kvinne",23
"152",52,2,5,2,"32",3,4,5,5,5,3,3,3,3,3,3,3,2,2,2,TRUE,FALSE,"Annet","mann",22
"153",47,1,2,2,"29",2,2,2,3,3,1,1,1,1,1,1,2,3,2,2,FALSE,FALSE,"Annet","kvinne",12
"154",26,1,2,4,"3",5,6,4,7,6,3,4,5,5,5,2,2,2,2,2,FALSE,FALSE,"Annet","kvinne",28
"155",25,1,2,3,"8",2,2,2,2,2,1,1,1,1,2,1,1,2,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",10
"156",50,1,5,3,"33",4,2,4,5,2,4,2,2,2,2,1,1,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",17
"157",37,1,3,3,"12",3,7,5,7,6,6,6,5,3,3,3,4,5,1,3,FALSE,FALSE,"Helse og omsorg","kvinne",28
"158",31,1,3,2,"12",4,2,5,6,5,4,1,4,3,2,2,2,3,1,3,FALSE,FALSE,"Helse og omsorg","kvinne",22
"159",36,1,4,3,"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",5
"160",44,1,3,3,"22",6,6,7,6,6,4,4,4,5,5,6,3,6,3,7,FALSE,FALSE,"Helse og omsorg","kvinne",31
"161",55,1,3,3,"30",5,6,6,6,6,7,6,6,6,6,4,5,5,5,3,FALSE,FALSE,"Helse og omsorg","kvinne",29
"162",36,1,2,2,"18",1,1,1,1,1,4,6,6,6,6,7,7,7,6,7,FALSE,FALSE,"Annet","kvinne",5
"163",33,1,3,2,"15",7,7,7,7,7,3,2,2,2,2,3,5,5,3,3,FALSE,FALSE,"Helse og omsorg","kvinne",35
"164",38,1,2,2,"20",2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,"Annet","kvinne",9
"165",39,1,1,4,"10",3,3,2,5,4,2,2,2,2,2,2,1,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",17
"166",20,1,1,3,"3",5,4,5,6,5,7,3,6,5,4,1,2,2,1,2,TRUE,FALSE,"Helse og omsorg","kvinne",25
"167",42,2,1,3,"19",6,6,4,7,7,1,1,6,5,1,2,2,2,2,2,TRUE,FALSE,"Annet","mann",30
"168",47,1,5,3,"30",2,2,2,5,5,2,2,2,2,2,3,5,5,5,4,TRUE,FALSE,"Annet","kvinne",16
"169",46,1,5,2,"20",3,4,5,6,6,2,2,2,2,2,3,1,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",24
"170",35,1,1,3,"15",4,4,3,4,2,2,2,4,2,2,2,2,2,2,2,TRUE,FALSE,"Helse og omsorg","kvinne",17
"171",42,1,3,3,"15",5,6,5,2,2,7,6,6,6,6,5,2,2,2,2,FALSE,TRUE,"Annet","kvinne",20
"172",51,1,2,3,"35",2,1,2,2,2,3,4,4,2,2,1,2,2,2,2,FALSE,FALSE,"Annet","kvinne",9
"173",48,1,3,4,"20",2,2,2,6,5,4,2,2,2,2,1,1,2,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",17
"174",55,1,2,2,"37",5,5,6,6,6,4,5,4,4,4,4,6,6,4,5,FALSE,FALSE,"Helse og omsorg","kvinne",28
"175",62,1,4,2,"42",1,6,6,6,6,4,3,3,4,4,5,4,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",25
"176",31,2,1,2,"12",1,1,1,2,1,3,2,4,3,2,1,1,1,1,1,TRUE,FALSE,"Annet","mann",6
"177",26,1,2,2,"6",4,5,6,4,7,1,1,3,1,1,4,2,1,3,1,FALSE,FALSE,"Helse og omsorg","kvinne",26
"178",24,1,1,3,"4,5",3,3,4,5,4,4,3,4,4,4,5,3,4,1,2,TRUE,FALSE,"Helse og omsorg","kvinne",19
"179",44,1,3,4,"22",1,5,2,7,5,5,6,7,7,7,1,1,1,1,1,FALSE,TRUE,"Helse og omsorg","kvinne",20
"180",40,1,1,4,"17",4,4,4,5,6,5,5,5,5,5,2,1,1,1,1,TRUE,FALSE,"Annet","kvinne",23
"181",42,1,3,2,"20",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,FALSE,FALSE,"Helse og omsorg","kvinne",35
"182",60,1,3,3,"35",5,6,5,6,6,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",28
"183",42,1,3,3,"15",4,4,4,5,5,4,4,5,4,4,5,2,4,3,3,FALSE,FALSE,"Helse og omsorg","kvinne",22
"184",34,1,2,2,"7",5,5,5,6,5,2,5,4,2,2,2,5,3,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",26
"185",41,1,3,3,"8",5,6,4,2,6,4,2,4,4,5,3,2,2,4,2,FALSE,FALSE,"Helse og omsorg","kvinne",23
"186",42,1,2,3,"21",5,5,4,5,4,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",23
"187",33,1,3,4,"12",4,3,5,6,6,7,6,7,7,5,1,1,2,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",24
