"","Org_num","Alder","Engasjement","Utbrenthet","Overbelastning","Kynisme","Medarbeiderskap","Turnoverintensjon","Informasjonogforutsigbarhet","Medvirkning","Autonomi","Tilbakemelding","Investeringimedarbeiderutvikling","Ledelseskvalitet","Støttefrakolleger","Klarhetimål","Interntsamarbeid","Arbeidspress","Kjønn","Barn_num","Eng1","Eng2","Eng3","Eng4","Eng5","Eng6","Medarb1","Medarb2","Medarb3","Medarb4","Overb1","Overb2","Overb3","Overb4","Kyn1","Kyn2","Kyn3","Turn1","Turn2","Turn3","Info1","Info2","Medv1","Medv2","Medv3","Auto1","Auto2","Auto3","Tilbm1","Tilbm2","Tilbm3","Inv1","Inv2","Inv3","LK1","LK2","LK3","LK4","LK5","Stk1","Stk2","Stk3","Stk4","Stk5","Stk6","Stk7","Kmål1","Kmål2","Kmål3","Ints1","Ints2","Ints3","Ints4","Ints5","Arbp1","Arbp2","Arbp3"
"438",2,35,4.667,1.42857142857143,1.5,1.33333333333333,4.25,2.333,4.5,4.667,5,4.667,5,5,4.857,3.667,5,1.667,2,1,5,5,4,5,5,4,4,4,5,4,2,1,1,2,1,1,2,1,5,1,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,5,5,5,5,5,5,2,2,1
"439",2,35,4.667,1.85714285714286,2.25,1.33333333333333,4,2,3.5,4,5,4,2.333,3.2,5,4,4,2.667,2,2,5,5,5,5,5,3,4,4,4,4,3,2,1,3,1,1,2,2,1,3,3,4,4,3,5,5,5,5,4,4,4,3,1,3,3,4,3,3,3,5,5,5,5,5,5,5,4,4,4,4,5,3,4,4,2,4,2
"440",1,35,4.833,1.71428571428571,1.5,2,5,2,1,1.667,5,4.333,2,3.2,2.714,1,2.6,1,2,2,5,5,4,5,5,5,5,5,5,5,2,1,2,1,2,2,2,4,1,1,1,1,2,2,1,5,5,5,4,4,5,2,2,2,2,5,1,4,4,4,2,1,5,1,5,1,1,1,1,5,2,2,2,2,1,1,1
"441",2,35,4.833,1.57142857142857,2,1,5,1,4.5,5,4.333,5,5,5,5,4,4.6,1.333,2,2,5,5,5,5,5,4,5,5,5,5,2,2,1,3,1,1,1,1,1,1,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,5,5,1,1,2
"442",2,35,4.833,1,1,1,4.75,1,5,3.667,4.333,5,3,5,5,4,3.8,1.667,2,2,5,5,4,5,5,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,5,5,3,4,4,5,3,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,2,2,5,2,2,1
"443",2,35,4.833,1.28571428571429,1.5,1,4.5,2.333,4,4.667,5,2.667,3,5,4.857,4.667,4,2.667,2,1,5,5,5,5,5,4,5,4,4,5,2,1,1,2,1,1,1,1,5,1,4,4,4,5,5,5,5,5,2,2,4,3,3,3,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,2,5,4,2,4,2
"444",1,35,5,1.71428571428571,2,1.33333333333333,5,1.667,4,3,3.667,4.333,3.333,5,5,2.667,2.8,4.667,1,1,5,5,5,5,5,5,5,5,5,5,2,1,2,3,1,1,2,3,1,1,4,4,4,4,1,4,4,3,5,4,4,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,5,2,2,3,2,5,5,4
"445",1,35,5,1,1,1,4.75,3.333,3.5,3.667,3.667,2.333,2.667,3.2,3.143,1.333,4.4,2.333,1,2,5,5,5,5,5,5,5,4,5,5,1,1,1,1,1,1,1,3,4,3,3,4,3,4,4,4,4,3,2,2,3,2,3,3,4,4,2,3,3,4,4,2,4,2,4,2,1,1,2,5,3,4,5,5,3,2,2
"446",2,35,5,2.28571428571429,2.25,2.33333333333333,4.75,1,4,5,4.667,4.667,4.333,4.2,5,5,4.8,1.333,2,1,5,5,5,5,5,5,4,5,5,5,3,3,2,1,1,1,5,1,1,1,4,4,5,5,5,4,5,5,5,5,4,4,4,5,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,2
"447",2,35,5,1.71428571428571,1,2.66666666666667,5,4.667,3,3.333,4.333,3.333,2.667,3.2,4.857,3.667,3.6,3,2,2,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,2,4,4,5,5,2,4,4,3,3,4,4,5,4,2,4,2,2,4,2,5,1,4,4,5,5,5,5,5,5,4,4,3,4,4,4,4,3,3,4,4,1
"448",2,35,5,1.85714285714286,2.5,1,4.5,1,2,3,4,3.333,3.333,5,4.857,2.333,3,4.333,2,2,5,5,5,5,5,5,5,3,5,5,3,3,1,3,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,3,3,3,3,4,5,5,5,5,5,4,5,5,5,5,5,5,3,1,3,3,3,3,3,3,5,5,3
"449",2,36,2,4.71428571428571,5,4.33333333333333,4.25,5,2,3.333,4,4,3.333,1.6,2.714,2,3.2,3.333,2,1,2,2,2,2,2,2,4,4,5,4,5,5,5,5,4,5,4,5,5,5,2,2,2,4,4,4,4,4,4,4,4,2,4,4,1,2,3,1,1,4,1,2,4,4,2,2,2,2,2,2,2,4,4,4,4,4,2
"450",2,36,2.333,4.57142857142857,4.25,5,3.5,3.667,3.5,3,3.333,4.667,4,3.4,3.429,4,3.4,4.667,2,1,2,3,1,3,4,1,2,4,4,4,5,3,4,5,5,5,5,4,4,3,4,3,3,2,4,4,3,3,5,5,4,4,4,4,3,5,3,3,3,3,3,3,4,3,4,4,4,4,4,2,3,4,4,4,4,5,5
